artist,bio
Neon Echo,A synthwave and pop duo originally formed in a basement in 2010. They are famous for their late-night euphoric beats and nostalgic melodies.
LoRoom,An anonymous lo-fi producer who streams chill beats 24/7. Known for creating the ultimate background music for coding and studying.
Voltline,A high-energy rock band from the 2000s that gained a massive following by performing at extreme sports events.
Paper Lanterns,An indie collective that blends acoustic instruments with subtle electronic textures to create deeply calming and focused atmospheres.
Max Pulse,A fitness instructor turned EDM producer who crafts intense, high-bpm tracks specifically designed to push gym-goers to their limits.
Orbit Bloom,A pioneer of the 1990s ambient movement. Their tracks are often used in planetariums and space documentaries.
Slow Stereo,A jazz trio that loves to improvise. Their music captures the essence of a rainy day in a cozy coffee shop.
Indigo Parade,An upbeat indie pop band known for their rooftop concerts and infectious, happy energy that dominated the 2010s summer festivals.
Sierra Vale,A nostalgic folk singer-songwriter whose acoustic melodies transport listeners back to the simpler times of the 1980s.
Atlas Drive,A modern EDM powerhouse. They headline major music festivals and are known for heavy bass drops and euphoric dance anthems.
Orion Strings,A classical orchestra dating back to the 1800s, renowned for their deeply emotional and cinematic string arrangements.
Coral Tide,A reggae group formed in the 90s, famous for their laid-back sunset vibes and beachside performances.
Iron Skies,A heavy metal band from the 2000s whose aggressive, empowering riffs have become legendary in the underground scene.
Mia Rhymes,A confident hip-hop artist whose poetic lyrics and city-inspired beats defined the 2010s urban music landscape.
Nomad Pulse,A world-music collective that travels the globe recording reflective, acoustic sounds inspired by desert landscapes.
