id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,detailed_mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,85,2020,euphoric|dance
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,60,2010,nostalgic|calm
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,70,2000,aggressive|intense
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,55,2010,calm|focused
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,95,2020,euphoric|aggressive
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,40,1990,nostalgic|calm
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,65,2000,calm
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,80,2010,nostalgic|intense
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,75,2020,focused
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,82,2010,euphoric
11,Golden Fields,Sierra Vale,folk,nostalgic,0.58,96,0.72,0.60,0.85,50,1980,nostalgic
12,Neon Pulse,Atlas Drive,edm,energetic,0.90,128,0.68,0.92,0.12,88,2020,euphoric|aggressive
13,Midnight Orchestry,Orion Strings,classical,cinematic,0.35,72,0.45,0.30,0.95,45,1800,calm|nostalgic
14,Sunset Reggae,Coral Tide,reggae,laid-back,0.50,88,0.80,0.70,0.65,62,1990,euphoric|calm
15,Thunder Forge,Iron Skies,metal,empowered,0.94,150,0.55,0.67,0.08,58,2000,aggressive
16,City Canvas,Mia Rhymes,hip hop,confident,0.78,102,0.74,0.85,0.22,90,2010,euphoric
17,Desert Echoes,Nomad Pulse,world,reflective,0.46,84,0.60,0.55,0.72,48,2000,calm|nostalgic
